Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
KWh-001,K0001,Float,1,R/W,100,,,,,,,,,,,
Energy-001,K0002,Float,1,R/W,100,,,,,,,,,,,
Voltage_1-001,K0003,Float,1,R/W,100,,,,,,,,,,,
Voltage_2-001,K0004,Float,1,R/W,100,,,,,,,,,,,
Voltage_3-001,K0005,Float,1,R/W,100,,,,,,,,,,,
Voltage_N-001,K0006,Float,1,R/W,100,,,,,,,,,,,
Current_1-001,K0007,Float,1,R/W,100,,,,,,,,,,,
Current_2-001,K0008,Float,1,R/W,100,,,,,,,,,,,
Current_3-001,K0009,Float,1,R/W,100,,,,,,,,,,,
Current_AVG-001,K0010,Float,1,R/W,100,,,,,,,,,,,
Power_1-001,K0011,Float,1,R/W,100,,,,,,,,,,,
Power_2-001,K0012,Float,1,R/W,100,,,,,,,,,,,
Power_3-001,K0013,Float,1,R/W,100,,,,,,,,,,,
Power_Factor_1-001,K0014,Float,1,R/W,100,,,,,,,,,,,
Power_Factor_2-001,K0015,Float,1,R/W,100,,,,,,,,,,,
Power_Factor_3-001,K0016,Float,1,R/W,100,,,,,,,,,,,
Power_Factor_Total,K0017,Float,1,R/W,100,,,,,,,,,,,
KWh-002,K0018,Float,1,R/W,100,,,,,,,,,,,
Energy-002,K0019,Float,1,R/W,100,,,,,,,,,,,
Voltage_1-002,K0020,Float,1,R/W,100,,,,,,,,,,,
Voltage_2-002,K0021,Float,1,R/W,100,,,,,,,,,,,
Voltage_3-002,K0022,Float,1,R/W,100,,,,,,,,,,,
Voltage_N-002,K0023,Float,1,R/W,100,,,,,,,,,,,
Current_1-002,K0024,Float,1,R/W,100,,,,,,,,,,,
Current_2-002,K0025,Float,1,R/W,100,,,,,,,,,,,
Current_3-002,K0026,Float,1,R/W,100,,,,,,,,,,,
Current_AVG-002,K0027,Float,1,R/W,100,,,,,,,,,,,
Power_1-002,K0028,Float,1,R/W,100,,,,,,,,,,,
Power_2-002,K0029,Float,1,R/W,100,,,,,,,,,,,
Power_3-002,K0030,Float,1,R/W,100,,,,,,,,,,,
Power_Factor_1-002,K0031,Float,1,R/W,100,,,,,,,,,,,
Power_Factor_2-002,K0032,Float,1,R/W,100,,,,,,,,,,,
Power_Factor_3-002,K0033,Float,1,R/W,100,,,,,,,,,,,
Power_Factor_Total,K0034,Float,1,R/W,100,,,,,,,,,,,
KWh-003,K0035,Float,1,R/W,100,,,,,,,,,,,
Energy-003,K0036,Float,1,R/W,100,,,,,,,,,,,
Voltage_1-003,K0037,Float,1,R/W,100,,,,,,,,,,,
Voltage_2-003,K0038,Float,1,R/W,100,,,,,,,,,,,
Voltage_3-003,K0039,Float,1,R/W,100,,,,,,,,,,,
Voltage_N-003,K0040,Float,1,R/W,100,,,,,,,,,,,
Current_1-003,K0041,Float,1,R/W,100,,,,,,,,,,,
Current_2-003,K0042,Float,1,R/W,100,,,,,,,,,,,
Current_3-003,K0043,Float,1,R/W,100,,,,,,,,,,,
Current_AVG-003,K0044,Float,1,R/W,100,,,,,,,,,,,
Power_1-003,K0045,Float,1,R/W,100,,,,,,,,,,,
Power_2-003,K0046,Float,1,R/W,100,,,,,,,,,,,
Power_3-003,K0047,Float,1,R/W,100,,,,,,,,,,,
Power_Factor_1-003,K0048,Float,1,R/W,100,,,,,,,,,,,
